Run	geo_loc_name_country_continent	File_old	File
SRR10095375	North America	SRR	SRR
SRR10095376	North America	SRR	SRR
SRR10095376	North America	SRR	SRR
SRR11035246	North America	NA	NA
SRR11035248	North America	NA	NA
SRR11035250	North America	NA	NA
SRR11035251	North America	NA	NA
SRR11035252	North America	NA	NA
SRR11035253	North America	NA	NA
SRR1103952	Africa	SRR	SRR
SRR1103958	Africa	SRR	SRR
SRR1103962	Africa	SRR	SRR
SRR1103964	Asia	SRR	SRR
SRR1103964	Asia	SRR	SRR
SRR1103964	Asia	SRR	SRR
SRR1103964	Asia	SRR	SRR
SRR1103964	Asia	SRR	SRR
SRR1271734	Asia	SRR	SRR
SRR1271735	Asia	SRR	SRR
SRR1271736	Asia	SRR	SRR
SRR1271737	Asia	SRR	SRR
SRR1271740	Asia	SRR	SRR
SRR1271741	Asia	SRR	SRR
SRR1271742	Asia	SRR	SRR
SRR1271743	Asia	SRR	SRR
SRR1271744	Asia	SRR	SRR
SRR1324888	Asia	SRR	SRR
SRR1324891	Europe	SRR	SRR
SRR13450231	Europe	NA	NA
SRR13455452	Europe	NA	NA
SRR13455468	Europe	NA	NA
SRR13478245	Europe	SRR	SRR
SRR13478585	Europe	SRR	SRR
SRR13478587	Europe	SRR	SRR
SRR1645076	Asia	SRR	SRR
SRR1795232	Europe	SRR	SRR
SRR18056563	Africa	SRR	SRR
SRR18056564	Africa	SRR	SRR
SRR18056565	Europe	SRR	SRR
SRR18056566	Europe	SRR	SRR
SRR18056568	Europe	SRR	SRR
SRR18056569	Europe	SRR	SRR
SRR18056570	Europe	SRR	SRR
SRR18056571	Africa	SRR	SRR
SRR18056572	Africa	SRR	SRR
SRR1817172	Asia	SRR	SRR
SRR1817173	Asia	SRR	SRR
SRR18178401	Africa	SRR	SRR
SRR18286777	Africa	SRR	SRR
SRR18286780	Africa	SRR	SRR
SRR18286785	Africa	SRR	SRR
SRR2968117	Africa	SRR	SRR
SRR2968119	Africa	SRR	SRR
SRR2968123	Africa	SRR	SRR
SRR5665565	Oceania	NA	NA
SRR5665566	Oceania	SRR	SRR
SRR5665567	Oceania	SRR	SRR
SRR5665568	Oceania	SRR	SRR
SRR5665569	Oceania	SRR	SRR
SRR5665570	Oceania	SRR	SRR
SRR5665571	Oceania	NA	NA
SRR5665572	Oceania	NA	NA
SRR5665573	Oceania	SRR	SRR
SRR5665574	Oceania	NA	NA
SRR5665575	Oceania	SRR	SRR
SRR5665576	Oceania	SRR	SRR
SRR6155879_EVE	Asia	NA	NA
SRR6155879	Asia	SRR	SRR
SRR6155879	Asia	SRR	SRR
SRR6155880	Oceania	SRR	SRR
SRR6155880	Oceania	SRR	SRR
SRR6155880	Oceania	SRR	SRR
SRR6155880	Oceania	SRR	SRR
SRR6155880	Oceania	SRR	SRR
SRR6155880	Oceania	SRR	SRR
SRR6155881.1	Oceania	NA	NA
SRR6155881	Oceania	SRR	SRR
SRR6155881	Oceania	SRR	SRR
SRR6155881	Oceania	SRR	SRR
SRR6489870	Europe	SRR	SRR
SRR6489876	Europe	SRR	SRR
SRR6489877	Europe	SRR	SRR
SRR6489878	Europe	SRR	SRR
SRR6489879	Europe	SRR	SRR
SRR7610937	Asia	SRR	SRR
