#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
SRR6489876_HP2_2	1	602	560	602	100	77.4917	39.8	39.9
SRR6489876_PB1_2	1	2367	639	2367	100	26.9366	39.9	41.4
SRR6489876_PB1	1	2361	945	2361	100	39.8098	39.8	41.3
SRR6489876_HP1-3	1	782	292	782	100	37.2673	40	41.6
SRR6489876_HP1	1	699	1028	699	100	148.19	39.9	40.6
SRR6489876_GP	1	1362	771	1362	100	56.4905	40	40.9
SRR6489876_HP3_2	1	351	1942	351	100	546.325	40	39.9
SRR6489876_NP	1	1647	1794	1647	100	108.177	39.8	41.5
SRR6489876_PB2_2	1	2361	450	2356	99.7882	19.2211	39.8	41.9
SRR6489876_HP2	1	589	908	589	100	153.642	39.9	40.8
SRR6489876_PB2	1	2369	1000	2362	99.7045	42.0422	39.9	41.7
SRR6489876_GP_2	1	1492	406	1492	100	26.9899	39.8	42
SRR6489876_HP3	1	331	374	331	100	116.027	39.7	40.2
SRR6489876_PA	1	2154	746	2153	99.9536	34.454	39.9	41.7
SRR6489876_NP_2	1	1698	712	1674	98.5866	41.8174	39.9	41.6
SRR6489876_HP1_2	1	683	0	0	0	0	0	0
