#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
SRR6155881_GP_2	1	1477	442	1476	99.9323	10.0867	36.7	28.4
SRR6155881_GP	1	1365	3514	1365	100	377.421	36.3	41.4
SRR6155881_PB1	1	2361	1837	2361	100	114.593	36.2	41.1
SRR6155881_HP1	1	699	2280	699	100	502.33	36.6	40.6
SRR6155881_HP3	1	351	1014	351	100	418.698	35.8	40.6
SRR6155881_NP_2	1	1726	86	1686	97.6825	7.22885	35.8	40.3
SRR6155881_NP	1	1701	2915	1701	100	247.094	35.8	41.6
SRR6155881_HP2	1	585	4145	585	100	1047.55	36.3	40.9
SRR6155881_PB2	1	2373	1957	2373	100	120.059	36.1	41.7
SRR6155881_PA	1	2127	1786	2127	100	123.39	36.3	40.5
