Sample	Percentage	ID_NEW	Sample	Tribe	Segment
SRR13455468	NA	SRR13455468.2_PB2	SRR13455468.2	Aedini	PB2
SRR13455468	NA	SRR13455468.2_PB1	SRR13455468.2	Aedini	PB1
SRR13455468	NA	SRR13455468.2_PA	SRR13455468.2	Aedini	PA
SRR13455468	NA	SRR13455468.2_NP	SRR13455468.2	Aedini	NP
SRR13455468	41.31	SRR13455468.2_HP3	SRR13455468.2	Aedini	HP3
SRR13455468	NA	SRR13455468.2_HP2	SRR13455468.2	Aedini	HP2
SRR13455468	NA	SRR13455468.2_HP1	SRR13455468.2	Aedini	HP1
SRR13455468	NA	SRR13455468.2_GP	SRR13455468.2	Aedini	GP
SRR13455468	65.93	SRR13455468.1_PB2	SRR13455468.1	Aedini	PB2
SRR13455468	74.38	SRR13455468.1_PB1	SRR13455468.1	Aedini	PB1
SRR13455468	13.21	SRR13455468.1_PA	SRR13455468.1	Aedini	PA
SRR13455468	62.51	SRR13455468.1_NP	SRR13455468.1	Aedini	NP
SRR13455468	46.13	SRR13455468.1_HP3	SRR13455468.1	Aedini	HP3
SRR13455468	44.92	SRR13455468.1_HP2	SRR13455468.1	Aedini	HP2
SRR13455468	80.83	SRR13455468.1_HP1	SRR13455468.1	Aedini	HP1
SRR13455468	36.14	SRR13455468.1_GP	SRR13455468.1	Aedini	GP
SRR13478245	NA	SRR13478245.2_PB2	SRR13478245.2	Culicinae	PB2
SRR13478245	NA	SRR13478245.2_PB1	SRR13478245.2	Culicinae	PB1
SRR13478245	NA	SRR13478245.2_PA	SRR13478245.2	Culicinae	PA
SRR13478245	18.32	SRR13478245.2_NP	SRR13478245.2	Culicinae	NP
SRR13478245	NA	SRR13478245.2_HP3	SRR13478245.2	Culicinae	HP3
SRR13478245	NA	SRR13478245.2_HP2	SRR13478245.2	Culicinae	HP2
SRR13478245	NA	SRR13478245.2_HP1	SRR13478245.2	Culicinae	HP1
SRR13478245	NA	SRR13478245.2_GP	SRR13478245.2	Culicinae	GP
SRR13478245	NA	SRR13478245.1_PB2	SRR13478245.1	Culicinae	PB2
SRR13478245	50.06	SRR13478245.1_PB1	SRR13478245.1	Culicinae	PB1
SRR13478245	49.35	SRR13478245.1_PA	SRR13478245.1	Culicinae	PA
SRR13478245	58.59	SRR13478245.1_NP	SRR13478245.1	Culicinae	NP
SRR13478245	NA	SRR13478245.1_HP3	SRR13478245.1	Culicinae	HP3
SRR13478245	NA	SRR13478245.1_HP2	SRR13478245.1	Culicinae	HP2
SRR13478245	99.85	SRR13478245.1_HP1	SRR13478245.1	Culicinae	HP1
SRR13478245	9.41	SRR13478245.1_GP	SRR13478245.1	Culicinae	GP
SRR13478585	NA	SRR13478585.2_PB2	SRR13478585.2	Culicinae	PB2
SRR13478585	NA	SRR13478585.2_PB1	SRR13478585.2	Culicinae	PB1
SRR13478585	NA	SRR13478585.2_PA	SRR13478585.2	Culicinae	PA
