SRR1103958_contig-52000003	JABWQA011460385.1_38_NP	62.2	225	235	871	1	223	1.02E-92	268	yes
SRR10095375_contig-1046000010	JAFDOQ010000565.1_64_NP	40	45	209	75	200	244	1.02E-07	39.7	no
SRR10095375_contig-27000004	JXUM01088862.1_137_HP2	27.7	148	106	549	12	138	2.45E-12	55.5	no
SRR10095375_contig-3333000005	JAJPPM010000601.1_94_NP	36.7	49	2	148	73	121	3.93E-06	34.7	no
SRR10095375_contig-3928000006	JABWQA011647398.1_31_PB1	49.2	65	40	234	3	64	4.01E-14	58.5	no
SRR10095375_contig-399000005	MNAF02000686.1_205_GP	41	39	107	223	74	112	9.02E-07	38.1	no
SRR10095375_contig-399000011	JXPU01078061.1_112_NP	48.4	93	290	12	174	266	2.68E-26	92.4	no
SRR10095375_contig-7573000014	JAJPPM010000601.1_94_NP	44.7	38	6	119	5	42	7.12E-07	35.8	no
SRR10095375_contig-7671000004	JABWQA011647398.1_31_PB1	48.8	41	124	2	223	260	1.69E-05	32	yes
SRR10095375_contig-825000009	JABWQA011460385.1_38_NP	56	75	227	3	65	138	9.16E-25	85.5	no
SRR10095375_contig-8372000002	JABWQA011504615.1_29_PB1	83.3	18	97	44	135	152	2.91E-05	31.2	no
SRR10095375_contig-88000006	JABWQA011693063.1_40_NP	45.8	153	31	489	53	203	1.50E-48	150	no
SRR10095376_contig-1014000007	AAGE02013358.1_17_NP	100	93	1	279	13	105	2.42E-68	194	no
SRR10095376_contig-1106000015	JABWQA011615689.1_32_GP	100	108	1	325	210	317	5.79E-76	223	yes
SRR10095376_contig-2010000012	JAJPPM010000004.1_105_GP	100	94	420	139	310	403	2.17E-62	189	no
SRR10095376_contig-20328000011	NIGP01000001.1_268_NP	100	40	122	3	147	186	7.05E-23	80.9	no
SRR10095376_contig-22238000013	NIGP01000001.1_267_NP	100	40	122	3	249	288	2.31E-24	84.3	no
SRR10095376_contig-2345000000	JAJPPM010001872.1_85_NP	100	156	471	4	1	156	3.70E-115	316	no
SRR10095376_contig-26147000001	JAJPPM010000705.1_81_NP	100	39	2	118	136	174	2.93E-23	81.3	no
SRR10095376_contig-2732000003	JAJPPM010000705.1_80_NP	100	106	3	320	164	269	2.81E-75	217	no
SRR10095376_contig-2792000004	JAJPPM010000705.1_81_NP	54.2	48	18	161	1	48	1.69E-12	52.4	no
SRR10095376_contig-28858000001	JAJPPM010000005.1_92_NP	97.4	38	114	1	34	71	1.45E-24	79.7	no
SRR10095376_contig-29780000009	JAJPPM010000001.1_100_NP	100	37	113	2	105	141	2.03E-20	72	yes
SRR10095376_contig-3023000006	JABWQA011693063.1_40_NP	98.8	82	7	252	79	160	5.61E-59	172	no
SRR10095376_contig-3134000006	JABWQA011422761.1_39_NP	100	126	17	395	5	130	2.59E-90	254	yes
SRR10095376_contig-31778000017	JABWQA011582508.1_30_NP	100	39	118	2	206	244	4.27E-23	80.1	no
SRR10095376_contig-33130000009	AAGE02009392.1_10_NP	100	36	1	108	142	177	1.79E-20	73.6	no
SRR10095376_contig-39000017	JXUM01035829.1_156_HP3	72.4	116	537	190	1	116	2.97E-63	185	yes
SRR10095376_contig-4254000016	JABWQA011615689.1_32_GP	100	83	2	251	179	261	1.15E-56	172	yes
SRR10095376_contig-43676000018	JAJPPM010000001.1_100_NP	100	33	1	99	138	170	2.61E-18	66.2	no
SRR10095376_contig-4510000014	JABWQA011615689.1_32_GP	100	71	3	215	137	207	6.00E-47	147	no
SRR10095376_contig-4549000001	JAJPPM010000705.1_81_NP	100	45	136	2	242	286	4.83E-28	94.4	no
SRR10095376_contig-5000011	JAJPPM010000705.1_80_NP	86.1	231	671	3	39	269	1.35E-147	405	no
SRR10095376_contig-53000004	AAGE02000021.1_14_NP	100	252	799	45	5	256	7.45E-185	501	yes
SRR10095376_contig-5477000004	JAJPPM010000004.1_105_GP	100	41	124	2	17	57	5.81E-25	86.7	no
SRR10095376_contig-6106000004	JAJPPM010000705.1_81_NP	100	59	178	2	169	227	7.20E-37	118	no
SRR10095376_contig-6170000007	JXPU01103522.1_119_NP	82.9	41	1	123	55	95	2.28E-20	70.5	no
SRR10095376_contig-63000017	AAGE02013194.1_2_PB1	72.6	453	89	1447	1	435	2.03E-229	642	yes
SRR10095376_contig-65000011	JAJPPM010000705.1_81_NP	100	86	197	454	1	86	8.25E-46	145	no
SRR10095376_contig-6878000017	AAGE02013193.1_15_PB1	97.6	41	1	123	3	43	3.12E-26	85.1	no
SRR10095376_contig-8000014	MNAF02001128.1_210_HP2	44.3	122	567	223	17	138	4.55E-35	115	no
SRR10095376_contig-8357000013	JABWQA011647398.1_31_PB1	100	40	3	123	123	162	7.93E-23	80.9	yes
SRR10095376_contig-9000012	JAJPPM010000705.1_81_NP	94.4	232	698	3	88	319	3.98E-160	439	no
SRR11035246_contig-1000016	JABWQA011647398.1_31_PB1	83.3	30	96	185	1	29	3.32E-12	52	no
