#rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
SRR6155881_GP	1	1365	3849	1365	100	377.421	36.3	39.9
SRR6155881_PB1	1	2361	1837	2361	100	114.593	36.2	41.1
SRR6155881_HP1	1	699	2282	699	100	502.664	36.6	40.6
SRR6155881_HP3	1	351	1014	351	100	418.698	35.8	40.6
SRR6155881_NP	1	1701	2915	1701	100	247.094	35.8	41.6
SRR6155881_NP_2	1	1726	84	1686	97.6825	7.05504	35.8	40.2
SRR6155881_HP2	1	585	4108	585	100	1037.94	36.3	40.9
SRR6155881_PB2	1	2373	1957	2373	100	120.059	36.1	41.7
SRR6155881_PA	1	2127	1786	2127	100	123.39	36.3	40.5
SRR6155881_GP-2	1	1477	430	1322	89.5058	8.86798	36.6	28
